time,ST1,ST2,ST3,ST4
850.0166667,1151.165659,238.1806835,216.7807036,67.87046068
855.0166667,1216.165092,250.4036581,207.8343511,63.09497459
860.0166667,1040.353837,215.322745,192.9451337,57.49322039
865.0166667,967.107612,188.7337016,170.1550469,49.73409876
870.0166667,1074.04453,224.9928509,166.4725704,46.56369884
875.0166667,579.3348252,128.4773561,77.10499658,27.46955651
880.0166667,858.5774258,147.9030152,142.0335216,43.36853693
885.0166667,1151.449072,222.1001037,125.7018806,36.83995727
890.0166667,1287.786699,238.2789527,110.9191015,35.98889242
895.0166667,957.435305,172.6125084,121.2679884,36.87357466
900.0166667,1135.558932,223.6616505,120.8389992,37.23961879
905.0166667,883.3139705,159.3168455,109.8801584,33.64612892
910.0166667,930.7732234,181.3646955,139.1089108,38.66960738
915.0166667,422.4615728,92.28643526,50.07140436,11.76204684
920.0166667,754.2851139,144.4924691,190.4557133,55.51708451
925.0166667,840.7347523,171.0362362,287.6611422,78.73368531
930.0166667,909.4509937,185.9805877,320.4518936,95.80120907
935.0166667,711.173284,140.1587866,397.6563992,118.9406806
940.0166667,837.9376164,182.6133212,515.3863251,156.6313248
945.0166667,681.5565119,135.2771877,513.7916833,160.3823854
950.0166667,952.1607041,179.3736379,536.3960649,171.271486
955.0166667,800.2799084,164.5589561,572.6011516,183.8756383
960.0166667,720.5691465,139.7463061,589.3344303,194.2792348
965.0166667,1005.504463,175.6761097,594.8319622,200.7258327
970.0166667,883.4753729,187.8481822,658.6318095,225.8185551
975.0166667,703.4608655,142.2414481,593.5348208,201.4141266
980.0166667,840.4496107,183.0572013,559.9315532,200.0258643
985.0166667,935.1056671,203.1081733,480.4485483,177.6788191
990.0166667,748.8223613,159.7812013,533.7901174,204.9657307
995.0166667,911.2488323,203.3110464,528.8902973,215.2888007
1000.016667,753.5612426,144.690767,453.2875336,192.7279397
1005.016667,787.1235535,154.0161231,458.6700334,212.6423697
1010.016667,900.8465804,185.7871481,450.9645838,215.7491403
1015.016667,773.7511396,144.5300852,350.8682801,181.8748982
1020.016667,1040.958402,205.7003907,400.5895188,225.3674092
1025.016667,1160.096346,207.8084743,338.3776634,207.3844075
1030.016667,850.3762338,134.2085185,319.0983889,211.0747172
1035.016667,1002.434393,164.2323175,343.8187982,241.844568
1040.016667,1193.542172,188.0303844,293.1325256,228.5432009
1045.016667,966.917789,114.7330912,279.2051282,236.4355958
1050.016667,1052.44186,135.1643401,291.5216083,261.4366447
1055.016667,1017.292401,128.2852995,255.6556245,250.2949192
1060.016667,1118.255888,164.9910811,248.9571291,252.464272
1065.016667,1307.951087,191.9185656,241.6478001,249.1216667
1070.016667,970.0086608,134.260044,217.3407252,247.0908537
1075.016667,1141.662601,192.2873594,217.3406631,254.6083686
